               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09262,            0.031299,                   0,           0.0048228,                   1,             0.23289,             0.06517,             0.05574,            0.021581,                   0,            0.070448,           0.0032836,           0.0032836
                   1,            0.063467,            0.026491,                   0,             0.10569,             0.76905,             0.12978,            0.029862,            0.056822,            0.014299,                   0,            0.040284,           0.0064531,           0.0064531
                   2,            0.061587,             0.02087,                   0,             0.46104,             0.85713,             0.63648,             0.13689,            0.039379,            0.012825,                   0,           0.0099552,           0.0094577,           0.0094577
                   3,            0.055264,            0.019008,                   0,             0.32576,             0.66667,             0.38127,             0.13076,            0.042591,           0.0092814,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.054194,            0.016337,                   0,             0.95181,                   1,               0.995,             0.61921,            0.038278,           0.0076575,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.044234,            0.014488,                   0,             0.65843,             0.66667,               0.885,             0.21091,            0.038655,           0.0075381,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.041063,            0.013159,                   0,             0.73629,                   1,               0.995,             0.65104,            0.026602,           0.0072389,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.037245,            0.011682,                   0,             0.98136,                   1,               0.995,             0.49411,            0.029314,           0.0060513,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.035346,            0.010954,                   0,             0.97158,                   1,               0.995,             0.51468,             0.02078,           0.0060453,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.029876,            0.010635,                   0,             0.98989,                   1,               0.995,             0.81047,            0.020639,           0.0052481,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.030093,           0.0098812,                   0,             0.90974,                   1,               0.995,             0.71691,            0.016112,           0.0055575,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.028066,           0.0096169,                   0,             0.98798,                   1,               0.995,             0.72161,            0.019733,           0.0054393,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.027346,           0.0097369,                   0,              0.9886,                   1,               0.995,             0.57725,            0.016486,           0.0050361,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.025411,           0.0091445,                   0,             0.98935,                   1,               0.995,             0.72203,            0.018419,           0.0055017,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.024603,           0.0089576,                   0,             0.98964,                   1,               0.995,              0.7566,            0.015661,           0.0047934,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,             0.02216,           0.0084589,                   0,              0.9895,                   1,               0.995,             0.83298,            0.013255,            0.004868,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.023214,           0.0082162,                   0,             0.99013,                   1,               0.995,             0.84939,           0.0091578,           0.0048451,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.021258,           0.0077496,                   0,             0.98965,                   1,               0.995,             0.67309,            0.015635,            0.004729,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.021384,           0.0082314,                   0,             0.98955,                   1,               0.995,             0.83123,            0.012116,           0.0045218,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.020036,           0.0075065,                   0,             0.98971,                   1,               0.995,             0.75796,            0.011677,            0.004271,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.018403,           0.0074768,                   0,             0.98984,                   1,               0.995,             0.74553,            0.012263,           0.0042644,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.018942,           0.0073538,                   0,             0.98987,                   1,               0.995,              0.7725,            0.012959,           0.0039234,                   0,             0.00505,             0.00505,             0.00505
                  22,             0.02098,           0.0075483,                   0,             0.98997,                   1,               0.995,             0.78383,            0.012638,           0.0037506,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.017028,           0.0067836,                   0,             0.99003,                   1,               0.995,             0.73787,            0.011764,            0.003773,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.016367,           0.0070513,                   0,             0.99023,                   1,               0.995,             0.87207,           0.0069997,           0.0032945,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.016336,           0.0068421,                   0,             0.99022,                   1,               0.995,              0.8957,           0.0089808,             0.00337,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.014771,           0.0069163,                   0,             0.99032,                   1,               0.995,             0.89591,             0.01011,           0.0034275,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.014415,           0.0068418,                   0,             0.99028,                   1,               0.995,             0.90055,            0.007208,           0.0030563,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.014134,           0.0064891,                   0,             0.99031,                   1,               0.995,             0.81617,           0.0083171,           0.0032644,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.015063,           0.0067193,                   0,             0.99073,                   1,               0.995,             0.91126,           0.0096983,           0.0031896,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.013534,           0.0061199,                   0,             0.99077,                   1,               0.995,             0.91206,           0.0057814,           0.0029128,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.014028,           0.0065717,                   0,              0.9908,                   1,               0.995,             0.92428,             0.00614,           0.0027916,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.011906,           0.0061868,                   0,             0.99074,                   1,               0.995,             0.91258,           0.0070703,           0.0029042,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.010974,           0.0057797,                   0,             0.99091,                   1,               0.995,             0.91364,            0.005931,           0.0028222,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.010121,           0.0056128,                   0,             0.99099,                   1,               0.995,             0.90998,           0.0062702,           0.0027602,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.010586,           0.0058238,                   0,             0.99107,                   1,               0.995,             0.92571,             0.00612,           0.0027452,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.010137,           0.0055497,                   0,             0.99117,                   1,               0.995,             0.94544,           0.0049775,           0.0025775,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,           0.0092329,           0.0057975,                   0,             0.99125,                   1,               0.995,             0.97407,            0.004977,           0.0024533,                   0,             0.00109,             0.00109,             0.00109
                  38,           0.0092026,           0.0058547,                   0,             0.99116,                   1,               0.995,             0.91608,           0.0055615,           0.0025144,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,           0.0091251,           0.0054621,                   0,             0.99112,                   1,               0.995,             0.91529,            0.005266,           0.0024641,                   0,            0.000595,            0.000595,            0.000595
